koteras,RT @ochocinco: I beat them all for 10 straight hours #FIFA16KING  https://t.co/BFnV6jfkBL
WoJCC,"RT @WeahsCousin: ""Pogba isn't worth £100million.""

Thanks Dean, the £500 you've spent on FIFA Ultimate Team probably wasn't worth it either."
ifanGarethBaday,"UEFA announce the 37 best players in Europe during 2015/2016...
Via News Break: https://t.co/FOOizYUzBg https://t.co/fLJTWMjKBV"
mouzinho_pedro,Who wants to do a Wager??!? Fifa 100k
BradMattHD,RT @itsDMGhere: I liked a @YouTube video from @bradmatthd https://t.co/5uybCWMaUK MLS TOTS CUP SQUAD BUILDER - FIFA 16 ULTIMATE TEAM
jamiebr2,"RT @WeahsCousin: ""Pogba isn't worth £100million.""

Thanks Dean, the £500 you've spent on FIFA Ultimate Team probably wasn't worth it either."
FifaCoinGalaxy,MASSIVE GIVEAWAY! 3 x FIFA 17 (ALL CONSOLES + PC) - Retweet + follow to enter! https://t.co/PS9jV40QZS
leimagpet,"https://t.co/vMTgYVvQxp this is an amazing youtuber! He is vloging and playing minecraft, fifa and cod. Help his chanel grow. He deservs it!"
KatherineConn25,Crystal Palace new boy Andros Townsend tries out FIFA 17 with team-mates ahead of pre-season friendly ... - https://t.co/8CUrBBVadx
Kakraba_kobs,"RT @kuuku_: ""Di Maria to Falcao Fifa 15 go jorm"" but we no see shele 😂😂😂😂😂😂 https://t.co/K3B7C5cLlI"
kizza_pearson,RT @FifaCoinGalaxy: MASSIVE GIVEAWAY! 3 x FIFA 17 (ALL CONSOLES + PC) - Retweet + follow to enter! https://t.co/PS9jV40QZS
EyadAlajlan,RT @FifaCoinGalaxy: MASSIVE GIVEAWAY! 3 x FIFA 17 (ALL CONSOLES + PC) - Retweet + follow to enter! https://t.co/PS9jV40QZS
Reiko_K_Chinen,RT @dodo938: Will Rodchenkov be used exclusively as a tool to nail the Russians? My latest https://t.co/2vXeeyitT4 #olympics #rio2016 #russ…
BooshTFM,RT @ochocinco: I beat them all for 10 straight hours #FIFA16KING  https://t.co/BFnV6jfkBL
TeddyBellingham,"RT @WeahsCousin: ""Pogba isn't worth £100million.""

Thanks Dean, the £500 you've spent on FIFA Ultimate Team probably wasn't worth it either."
CharchitDahal,Chinese Super League demands a place in FIFA 17 Leagues https://t.co/kaGgDFObTF #FIFA17
blairturner10,RT @FifaCoinGalaxy: MASSIVE GIVEAWAY! 3 x FIFA 17 (ALL CONSOLES + PC) - Retweet + follow to enter! https://t.co/PS9jV40QZS
Raaabert,"RT @WeahsCousin: ""Pogba isn't worth £100million.""

Thanks Dean, the £500 you've spent on FIFA Ultimate Team probably wasn't worth it either."
ValterFTW,RT @FifaCoinGalaxy: MASSIVE GIVEAWAY! 3 x FIFA 17 (ALL CONSOLES + PC) - Retweet + follow to enter! https://t.co/PS9jV40QZS
JakeFiFa8595,RT @FifaCoinGalaxy: MASSIVE GIVEAWAY! 3 x FIFA 17 (ALL CONSOLES + PC) - Retweet + follow to enter! https://t.co/PS9jV40QZS
Gayle2169,RT @FifaCoinGalaxy: MASSIVE GIVEAWAY! 3 x FIFA 17 (ALL CONSOLES + PC) - Retweet + follow to enter! https://t.co/PS9jV40QZS
GuadMendoza25,Crystal Palace new boy Andros Townsend tries out FIFA 17 with team-mates ahead of pre-season friendly ... - https://t.co/eeuoknd26G
Mattt1878_,"RT @WeahsCousin: ""Pogba isn't worth £100million.""

Thanks Dean, the £500 you've spent on FIFA Ultimate Team probably wasn't worth it either."
jimmyrudy1,RT @FifaCoinGalaxy: MASSIVE GIVEAWAY! 3 x FIFA 17 (ALL CONSOLES + PC) - Retweet + follow to enter! https://t.co/PS9jV40QZS
cameronclunie,RT @FifaCoinGalaxy: MASSIVE GIVEAWAY! 3 x FIFA 17 (ALL CONSOLES + PC) - Retweet + follow to enter! https://t.co/PS9jV40QZS
RottenTurtle,RT @FifaCoinGalaxy: MASSIVE GIVEAWAY! 3 x FIFA 17 (ALL CONSOLES + PC) - Retweet + follow to enter! https://t.co/PS9jV40QZS
Familyguydota,"RT @Castro1021: FIFA 17 SUPER DELUXE EDITION GIVEAWAY! 🎉⚽️

Retweet/Follow for a chance to win! 5 WINNERS 💪😜

#FIFA17 #HYPEEEEE 🤓 https://t…"
ryanp049,RT @FifaCoinGalaxy: MASSIVE GIVEAWAY! 3 x FIFA 17 (ALL CONSOLES + PC) - Retweet + follow to enter! https://t.co/PS9jV40QZS
glencameron900,RT @FifaCoinGalaxy: MASSIVE GIVEAWAY! 3 x FIFA 17 (ALL CONSOLES + PC) - Retweet + follow to enter! https://t.co/PS9jV40QZS
JoseMor65002906,RT @FifaCoinGalaxy: MASSIVE GIVEAWAY! 3 x FIFA 17 (ALL CONSOLES + PC) - Retweet + follow to enter! https://t.co/PS9jV40QZS
fvckcalvin,I used to complain about FIFA and COD servers but this is ridiculous  https://t.co/yR1uLpyeXJ
AmeriGunner,RT @6Gooner: Heard Fifa 17 was so realistic that in career mode when you finish 1st with Spurs you will still somehow finish below Arsenal.
GilbzHD,Shoutouts and Fifa with you guys!: https://t.co/HlxpaJ0kDZ via @YouTube
MaureenRegnier2,Crystal Palace new boy Andros Townsend tries out FIFA 17 with team-mates ahead of pre-season friendly ... - https://t.co/srprGUjJnI
RedGrumpii,RT @FifaCoinGalaxy: MASSIVE GIVEAWAY! 3 x FIFA 17 (ALL CONSOLES + PC) - Retweet + follow to enter! https://t.co/PS9jV40QZS
DavidAFC95,I liked a @YouTube video from @richleigh https://t.co/lWGL9mZEs1 FIFA 16 Oxford United Career Mode - League Cup Quarter-Final - S3E03
XChavell,"RT @WeahsCousin: ""Pogba isn't worth £100million.""

Thanks Dean, the £500 you've spent on FIFA Ultimate Team probably wasn't worth it either."
StrainsDire,"RT @DundalkFC: Full Time FH 2-2 Dundalk, Dundalk qualify to the next round of the UEFA Champions League!"
StretfordReid,"RT @WeahsCousin: ""Pogba isn't worth £100million.""

Thanks Dean, the £500 you've spent on FIFA Ultimate Team probably wasn't worth it either."
kieranfoster_,"RT @WeahsCousin: ""Pogba isn't worth £100million.""

Thanks Dean, the £500 you've spent on FIFA Ultimate Team probably wasn't worth it either."
cammy870,RT @FifaCoinGalaxy: MASSIVE GIVEAWAY! 3 x FIFA 17 (ALL CONSOLES + PC) - Retweet + follow to enter! https://t.co/PS9jV40QZS
blakeyboy9,"RT @WeahsCousin: ""Pogba isn't worth £100million.""

Thanks Dean, the £500 you've spent on FIFA Ultimate Team probably wasn't worth it either."
HLSWRT9_,"RT @WeahsCousin: ""Pogba isn't worth £100million.""

Thanks Dean, the £500 you've spent on FIFA Ultimate Team probably wasn't worth it either."
threelions7,RT @FifaCoinGalaxy: MASSIVE GIVEAWAY! 3 x FIFA 17 (ALL CONSOLES + PC) - Retweet + follow to enter! https://t.co/PS9jV40QZS
kamura0622,RT @FifaCoinGalaxy: MASSIVE GIVEAWAY! 3 x FIFA 17 (ALL CONSOLES + PC) - Retweet + follow to enter! https://t.co/PS9jV40QZS
07kennedyl,"RT @WeahsCousin: ""Pogba isn't worth £100million.""

Thanks Dean, the £500 you've spent on FIFA Ultimate Team probably wasn't worth it either."
Natalie_COYS,RT @FifaCoinGalaxy: MASSIVE GIVEAWAY! 3 x FIFA 17 (ALL CONSOLES + PC) - Retweet + follow to enter! https://t.co/PS9jV40QZS
fifineasmike1,Crystal Palace new boy Andros Townsend tries out FIFA 17 with team-mates ahead of pre-season friendly ... - https://t.co/UGQNl5kY42
sunny72692,RT @FifaCoinGalaxy: MASSIVE GIVEAWAY! 3 x FIFA 17 (ALL CONSOLES + PC) - Retweet + follow to enter! https://t.co/PS9jV40QZS
albertofearless,RT @FifaCoinGalaxy: MASSIVE GIVEAWAY! 3 x FIFA 17 (ALL CONSOLES + PC) - Retweet + follow to enter! https://t.co/PS9jV40QZS
IamEdgarRomero,RT @FifaCoinGalaxy: MASSIVE GIVEAWAY! 3 x FIFA 17 (ALL CONSOLES + PC) - Retweet + follow to enter! https://t.co/PS9jV40QZS
KacpertheGhost,RT @6Gooner: Heard Fifa 17 was so realistic that in career mode when you finish 1st with Spurs you will still somehow finish below Arsenal.
lzyluffy2015,RT @FifaCoinGalaxy: MASSIVE GIVEAWAY! 3 x FIFA 17 (ALL CONSOLES + PC) - Retweet + follow to enter! https://t.co/PS9jV40QZS
CharchitDahal,FIFA 17 Soundtrack Wishlist https://t.co/BurGS65E7h #FIFA17
samiidongsaengi,RT @FifaCoinGalaxy: MASSIVE GIVEAWAY! 3 x FIFA 17 (ALL CONSOLES + PC) - Retweet + follow to enter! https://t.co/PS9jV40QZS
smithKarl901,RT @FifaCoinGalaxy: MASSIVE GIVEAWAY! 3 x FIFA 17 (ALL CONSOLES + PC) - Retweet + follow to enter! https://t.co/PS9jV40QZS
AlsnicFann,RT @FifaCoinGalaxy: MASSIVE GIVEAWAY! 3 x FIFA 17 (ALL CONSOLES + PC) - Retweet + follow to enter! https://t.co/PS9jV40QZS
lifeonprint,RT @FifaCoinGalaxy: MASSIVE GIVEAWAY! 3 x FIFA 17 (ALL CONSOLES + PC) - Retweet + follow to enter! https://t.co/PS9jV40QZS
nana90479057,RT @FifaCoinGalaxy: MASSIVE GIVEAWAY! 3 x FIFA 17 (ALL CONSOLES + PC) - Retweet + follow to enter! https://t.co/PS9jV40QZS
NaughtyCookieBx,It's a week at Soccer Camp!!! I need a drink!! #soccercamp #goals #soccer #fifa https://t.co/nWF3UwTUYJ
UnclePaul604,"@ochocinco if you back in ohio on your way up to CLE stop in dayton. garuntee a loss from my friend or I in fifa, heard u were good"
amy_halford1,RT @FifaCoinGalaxy: MASSIVE GIVEAWAY! 3 x FIFA 17 (ALL CONSOLES + PC) - Retweet + follow to enter! https://t.co/PS9jV40QZS
Nador___,"After a long ass frustrating day, we use FIFA to cool off. ✌🏾️ https://t.co/zF3iptduoX"
ComeOnEngland21,@Eduardopiva9 Hey  Eduardo! 😘 How R you? u looking frwd 2 da UEFA Euro 2016? 💋 check my blog anytime 💋 👉 https://t.co/gAhDsXS39z
HarryJ9345,RT @FifaCoinGalaxy: MASSIVE GIVEAWAY! 3 x FIFA 17 (ALL CONSOLES + PC) - Retweet + follow to enter! https://t.co/PS9jV40QZS
Flair_Fifa,I liked a @YouTube video from @dirtyspinbros https://t.co/3nGYNVCiOY iMOTM F8TAL | FIRST UPGRADES | FIFA 16 #2
nwaxhukwu,"RT @WeahsCousin: ""Pogba isn't worth £100million.""

Thanks Dean, the £500 you've spent on FIFA Ultimate Team probably wasn't worth it either."
HallowsEve22,RT @FifaCoinGalaxy: MASSIVE GIVEAWAY! 3 x FIFA 17 (ALL CONSOLES + PC) - Retweet + follow to enter! https://t.co/PS9jV40QZS
lifeonprint,RT @FifaCoinGalaxy MASSIVE GIVEAWAY! 3 x FIFA 17 (ALL CONSOLES + PC) - Retweet + follow to enter!
HaninHazwani,RT @GeniusFootball: You know it's FIFA... https://t.co/tLK6sTnPaM
ItzAli16YT,RT @FifaCoinGalaxy: MASSIVE GIVEAWAY! 3 x FIFA 17 (ALL CONSOLES + PC) - Retweet + follow to enter! https://t.co/PS9jV40QZS
rhysevans144,"RT @WeahsCousin: ""Pogba isn't worth £100million.""

Thanks Dean, the £500 you've spent on FIFA Ultimate Team probably wasn't worth it either."
xBassi,RT @FifaCoinGalaxy: MASSIVE GIVEAWAY! 3 x FIFA 17 (ALL CONSOLES + PC) - Retweet + follow to enter! https://t.co/PS9jV40QZS
RealScottRundle,RT @FifaCoinGalaxy: MASSIVE GIVEAWAY! 3 x FIFA 17 (ALL CONSOLES + PC) - Retweet + follow to enter! https://t.co/PS9jV40QZS
KevinHuckerby,RT @FifaCoinGalaxy: MASSIVE GIVEAWAY! 3 x FIFA 17 (ALL CONSOLES + PC) - Retweet + follow to enter! https://t.co/PS9jV40QZS
OLIXADO,RT @TrollFootball: Why is Snoop Dogg in FIFA 17? 😂 https://t.co/ogpnA4m6AS
leodeldepor,RT @GeniusFootball: You know it's FIFA... https://t.co/tLK6sTnPaM
Symboltic_vX,RT @Hobbision123: FIFA with Spider-Man tonight! https://t.co/aBX86d6kCD
leejohnozuna,RT @FifaCoinGalaxy: MASSIVE GIVEAWAY! 3 x FIFA 17 (ALL CONSOLES + PC) - Retweet + follow to enter! https://t.co/PS9jV40QZS
TamiloreA_,RT @Sope___A: Things people say when its 5-0 at half time https://t.co/wQ7Ssi8wBw
KillarneyKnight,"RT @DundalkFC: Full Time FH 2-2 Dundalk, Dundalk qualify to the next round of the UEFA Champions League!"
YudirivaniHxH,"RT @mrmichaelbarton: You wouldn't even buy Zlatan, Mkhitaryan and Pogba on FIFA or FM in one go as you'd think it was too unrealistic"
JerryCapone_,RT @Footy_Jokes: Why is Snoop Dogg in FIFA 17? 😂 https://t.co/FylVmH8Jsq
DeadlyCoutinho,Anyone want a game of Fifa?
KoekjesEter,RT @FifaCoinGalaxy: MASSIVE GIVEAWAY! 3 x FIFA 17 (ALL CONSOLES + PC) - Retweet + follow to enter! https://t.co/PS9jV40QZS
harryedpercy,"RT @WeahsCousin: ""Pogba isn't worth £100million.""

Thanks Dean, the £500 you've spent on FIFA Ultimate Team probably wasn't worth it either."
classic_1_0,RT @FifaCoinGalaxy: MASSIVE GIVEAWAY! 3 x FIFA 17 (ALL CONSOLES + PC) - Retweet + follow to enter! https://t.co/PS9jV40QZS
janniky,"RT @WeahsCousin: ""Pogba isn't worth £100million.""

Thanks Dean, the £500 you've spent on FIFA Ultimate Team probably wasn't worth it either."
mason_yuen,RT @ochocinco: I beat them all for 10 straight hours #FIFA16KING  https://t.co/BFnV6jfkBL
FIFAFATEHD7,GFX FIFA 16 Pack Opening Thumbnails https://t.co/tD1pTUyMWC
FifaUlTeamCoins,RT @FifaCoinGalaxy: MASSIVE GIVEAWAY! 3 x FIFA 17 (ALL CONSOLES + PC) - Retweet + follow to enter! https://t.co/PS9jV40QZS
PennTheGawd,"Uncharted 4 
Mafia III
2K17
FIFA 
Watch Dogs 2"
Saleem_swg,RT @GeniusFootball: You know it's FIFA... https://t.co/tLK6sTnPaM
wishtaco13,RT @FifaCoinGalaxy: MASSIVE GIVEAWAY! 3 x FIFA 17 (ALL CONSOLES + PC) - Retweet + follow to enter! https://t.co/PS9jV40QZS
callumholmes991,RT @FifaCoinGalaxy: MASSIVE GIVEAWAY! 3 x FIFA 17 (ALL CONSOLES + PC) - Retweet + follow to enter! https://t.co/PS9jV40QZS
OlaThrill,NPFL matches earlier scheduled for Sunday will now be played on Saturday due to the visit of FIFA boss Gianni Infantino to Nigeria. @Yemzd
UniqGiri,#fifa Batshuayi makes bizarre first Chelsea appearance https://t.co/ckdFUOqxYx #football #soccer
AcidicJohnny,"RT @fifaiosplayaa: 1ST FIFA MENU CONCEPT - FIFA 17 MOBILE!!
MUST ASK FOR PERMISSION TO USE!!!
RTS AND LIKES APPRECIATED :)
TAG FRIENDS! htt…"
360hsgaming,RT @FifaCoinGalaxy: MASSIVE GIVEAWAY! 3 x FIFA 17 (ALL CONSOLES + PC) - Retweet + follow to enter! https://t.co/PS9jV40QZS
YYCWard6,FIFA regulated indoor facility slated for Calgary via @660NEWS https://t.co/bj19PlbW4c #yyc
knaggsgeorge,@M_Hudson5 to have 5* skills on Fifa 17 please @EASPORTSFIFA #htafc
dazzlerinc,"RT @WeahsCousin: ""Pogba isn't worth £100million.""

Thanks Dean, the £500 you've spent on FIFA Ultimate Team probably wasn't worth it either."
ttbthookem,@EASPORTSFIFA soooo how about placing Providence Park into Fifa finally? Best fans in MLS!
Jakeeee1111,"RT @Castro1021: FIFA 17 SUPER DELUXE EDITION GIVEAWAY! 🎉⚽️

Retweet/Follow for a chance to win! 5 WINNERS 💪😜

#FIFA17 #HYPEEEEE 🤓 https://t…"
spdfifa16,I liked a @YouTube video from @officialmgh https://t.co/Wiwmrws8dx SUMMER SIGNINGS - LEICESTER CITY! (FIFA 16)
Salvojudd,RT @FifaCoinGalaxy: MASSIVE GIVEAWAY! 3 x FIFA 17 (ALL CONSOLES + PC) - Retweet + follow to enter! https://t.co/PS9jV40QZS
usgamingcentral,RT @FifaCoinGalaxy: MASSIVE GIVEAWAY! 3 x FIFA 17 (ALL CONSOLES + PC) - Retweet + follow to enter! https://t.co/PS9jV40QZS
alantobeagooner,RT @GeniusFootball: You know it's FIFA... https://t.co/tLK6sTnPaM
aboatshoe,RT @FifaCoinGalaxy: MASSIVE GIVEAWAY! 3 x FIFA 17 (ALL CONSOLES + PC) - Retweet + follow to enter! https://t.co/PS9jV40QZS
Curt_JustChilln,I'm starting to really understand formation concepts in Fifa..
pawn_junk,Morning Fifa ... https://t.co/7i75911FJ5
ComeOnEngland21,@msd890 Hey  8460712352! 😚 How r you? you looking frwd to the UEFA Euro 2016? 💕 check my blog anytime 💋 👉 https://t.co/gAhDsXS39z
CarlaBoyle25,Crystal Palace new boy Andros Townsend tries out FIFA 17 with team-mates ahead of pre-season friendly ... - https://t.co/0SSIP0UxO9
josmiles08,"RT @WeahsCousin: ""Pogba isn't worth £100million.""

Thanks Dean, the £500 you've spent on FIFA Ultimate Team probably wasn't worth it either."
Jhovo11,@ochocinco PLAY ME IN FIFA!!!
day07,RT @ochocinco: I beat them all for 10 straight hours #FIFA16KING  https://t.co/BFnV6jfkBL
CitizenForLife,RT @FifaCoinGalaxy: MASSIVE GIVEAWAY! 3 x FIFA 17 (ALL CONSOLES + PC) - Retweet + follow to enter! https://t.co/PS9jV40QZS
paul2west,RT @ochocinco: I beat them all for 10 straight hours #FIFA16KING  https://t.co/BFnV6jfkBL
UtdNo7,"RT @WeahsCousin: ""Pogba isn't worth £100million.""

Thanks Dean, the £500 you've spent on FIFA Ultimate Team probably wasn't worth it either."
dani_salame,RT @ShiraWildschut: my strong little fifa should make a full recovery 💙💙 https://t.co/WiSLOXQJPx
ClayHayter_,RT @ochocinco: I beat them all for 10 straight hours #FIFA16KING  https://t.co/BFnV6jfkBL
NicoBednarik,When Chris thinks he's good at FIFA https://t.co/AN5A1JVCM0
HotTrends8,#WorldCup #FIFA ADIDAS M. KLOSE GERMANY AWAY JERSEY SEMIFINAL DETAIL FIFA WORLD CUP BRAZIL 2014 https://t.co/Myze1N0P7g #FootBall #Deals
TenorBanjoe,"RT @DundalkFC: Full Time FH 2-2 Dundalk, Dundalk qualify to the next round of the UEFA Champions League!"
shahjrahman,"RT @WeahsCousin: ""Pogba isn't worth £100million.""

Thanks Dean, the £500 you've spent on FIFA Ultimate Team probably wasn't worth it either."
Dario_Gomezzz,RT @ochocinco: I beat them all for 10 straight hours #FIFA16KING  https://t.co/BFnV6jfkBL
thewisdxm,RT @Sope___A: Things people say when its 5-0 at half time https://t.co/wQ7Ssi8wBw
sang_taiwo,RT @FifaCoinGalaxy: MASSIVE GIVEAWAY! 3 x FIFA 17 (ALL CONSOLES + PC) - Retweet + follow to enter! https://t.co/PS9jV40QZS
SpaceCasey3,RT @ochocinco: I beat them all for 10 straight hours #FIFA16KING  https://t.co/BFnV6jfkBL
FxknnJayy,RT @ochocinco: I beat them all for 10 straight hours #FIFA16KING  https://t.co/BFnV6jfkBL
Azhaq_S,"RT @WeahsCousin: ""Pogba isn't worth £100million.""

Thanks Dean, the £500 you've spent on FIFA Ultimate Team probably wasn't worth it either."
B1gBaloo,@CelticGoals That move for Roberts goal was like something out of a skilled FIFA player. That was lovely stuff.
Jackson_006,RT @GeniusFootball: You know it's FIFA... https://t.co/tLK6sTnPaM
Calum_Heseltine,"RT @WeahsCousin: ""Pogba isn't worth £100million.""

Thanks Dean, the £500 you've spent on FIFA Ultimate Team probably wasn't worth it either."
ViBFifa,I liked a @YouTube video from @zwebackhd https://t.co/4UqBHu3gC6 OMG THE FIFA 17 JAVIER CHICHARITO HERNANDEZ BUNDESLIGA UPGRADE SQUAD!
Scheid14,RT @ochocinco: I beat them all for 10 straight hours #FIFA16KING  https://t.co/BFnV6jfkBL
BreelyTV,I liked a @YouTube video from @le96_z https://t.co/08N0jxkoAm BEST PLAYERS TO TRADE TO GO FROM 100K TO 1 MILLION COINS IN FIFA 16! |
PunitNarotomo,"RT @WeahsCousin: ""Pogba isn't worth £100million.""

Thanks Dean, the £500 you've spent on FIFA Ultimate Team probably wasn't worth it either."
thisguyisben06,RT @ochocinco: I beat them all for 10 straight hours #FIFA16KING  https://t.co/BFnV6jfkBL
TheRealRobHart,"RT @WeahsCousin: ""Pogba isn't worth £100million.""

Thanks Dean, the £500 you've spent on FIFA Ultimate Team probably wasn't worth it either."
hd2cont,"RT @UEFAEURO: 🎥 Were these the best five games at #EURO2016?

Watch the action & have your say: https://t.co/HAcfA9I8Hl https://t.co/bLesc3…"
CharchitDahal,Top 5 Weird FIFA 17 Wishlist on the Internet https://t.co/wY8rzsn67q #FIFA17
liamgwill98,"RT @WeahsCousin: ""Pogba isn't worth £100million.""

Thanks Dean, the £500 you've spent on FIFA Ultimate Team probably wasn't worth it either."
thisguyisben06,RT @ochocinco: I beat them all for 10 straight hours #FIFA16KING  https://t.co/BFnV6jfkBL
BenWirtz,@ManUtd is going to be the new spam team on FIFA 17 for sure now. Thankfully there's still @FCBayern.
dbiz_miguelanez,RT @FifaCoinGalaxy: MASSIVE GIVEAWAY! 3 x FIFA 17 (ALL CONSOLES + PC) - Retweet + follow to enter! https://t.co/PS9jV40QZS
FurysOrbiit,@riotricky @DailyVotingPoll @OffensiveWP it's gone downhill by at least it's better than fifa
FCBRenocule,"RT @DundalkFC: Full Time FH 2-2 Dundalk, Dundalk qualify to the next round of the UEFA Champions League!"
FIFA_Cable,2018 FIFA World Cup Russia Magazine: Episode 11 https://t.co/1Uy75kLY4m
fewz_y0,"RT @WeahsCousin: ""Pogba isn't worth £100million.""

Thanks Dean, the £500 you've spent on FIFA Ultimate Team probably wasn't worth it either."
